cod_upz;nom_upz;Women [%];Children [%];Teenagers [%];Older People [%];Victim population [%];SES 1 and 2 [% residential area];Mean slope [%];Sidewalk density [%];Cycleway density [%];Street density [%];Accidents with fatalities [1/ha];Accidents with injuries [1/ha];Pollution [PM2.5];Car share;PT share;Bike share;Walking share;Motorcycle share;Commuting Time;Access to Schools;Access to Health;Access to Administration;Access to Culture;Access to UGS;Access to PT;Access to Bike Sharing
97;CHICO LAGO;52,83101948;9,89432242;5,967675093;22,06796519;1,020513883;0;3,275912819;11,60;0,52;16,71;0,16;9,00;18,285;27,09;38,35;3,17;13,90;6,76;63,35;81,12191979;100;99,94275443;99,21393339;100;100;100
98;LOS ALCAZARES;49,43148753;9,957921124;9,01786114;19,44133578;3,603563275;0;1,591716518;13,49;0,64;21,13;0,30;13,89;18,285;16,14;33,49;6,77;28,66;6,59;52,86;100;100;84,9633088;85,21682525;100;100;100
99;CHAPINERO;49,9716885;5,571703597;5,541504662;14,59363557;2,385715904;0,431162901;3,257370115;10,18;0,77;17,22;0,44;18,35;17,445;17,11;48,76;2,47;17,87;5,91;62,72;97,31895832;95,89361247;79,48289891;98,62619276;100;96,73681529;93,77548323
100;GALERIAS;57,40013012;7,502927781;6,956408588;19,14638907;2,068965517;0;1,996563569;12,50;0,73;19,54;0,29;13,40;18,285;16,01;35,83;5,18;25,92;5,88;54,29;100;100;96,29606538;100;100;100;100
101;TEUSAQUILLO;56,89899934;6,87995568;6,45407015;19,81579585;3,05737336;0;2,008428056;13,12;0,91;21,83;0,34;13,72;15,718;14,46;44,32;2,87;17,08;7,41;57,67;100;100;87,7119712;100;100;100;100
102;LA SABANA;57,62301832;11,90549722;11,53747169;12,93751287;9,303582458;11,59697056;1,792514551;10,60;0,27;19,18;0,57;13,98;12,933;12,97;47,67;5,06;19,13;8,95;60,67;100;100;75,50037115;99,99895869;100;100;17,97634629
103;PARQUE EL SALITRE;45,63106796;11,3037448;8,807212205;17,89181692;3,74479889;0;1,564388735;3,31;0,74;5,87;0,11;4,02;16,030;13,76;22,48;11,01;38,07;5,81;38,17;72,57443353;42,74841498;12,51743743;65,07661518;100;85,60084475;15,47443749
104;PARQUE SIMON BOLIVAR-CAN;51,79055071;6,078844418;7,10201625;23,53295215;7,794161902;0;1,646439211;3,82;0,72;7,53;0,09;3,01;15,833;21,76;28,29;5,35;28,01;6,80;47,73;58,58354065;60,04946501;2,025361057;58,64077944;94,12037959;81,57246215;6,009731797
105;JARDIN BOTANICO;42,31034483;8,896551724;20,55172414;8,965517241;3,827586207;1,117385182;1,898172435;2,96;0,68;6,03;0,09;2,15;16,224;11,79;22,47;7,37;37,20;8,10;39,75;79,592248;76,99409469;22,56674596;55,96275363;99,03761418;82,24140814;0
106;LA ESMERALDA;59,11743253;8,339411622;8,001458789;25,27595429;0,877704838;0;2,093974791;9,34;0,45;15,82;0,19;6,58;15,858;28,96;25,07;5,37;21,49;7,76;48,16;100;97,68587038;10,87629561;37,81864545;100;100;20,96519086
107;QUINTA PAREDES;58,89856876;7,484615916;7,21150522;21,12977944;0,477079444;0;2,40377906;10,37;0,26;18,73;0,32;9,53;15,826;19,22;29,09;5,95;29,91;6,22;44,45;100;100;12,61858088;81,79805046;100;100;23,53821931
108;ZONA INDUSTRIAL;49,24992499;13,26132613;14,55145515;12,60126013;12,12121212;6,119846826;1,6404873;10,38;0,33;18,81;0,43;11,52;15,833;7,72;34,55;5,59;41,16;7,93;45,33;97,67358915;93,56047945;82,9849492;64,92682013;100;100;3,329343405
109;CIUDAD SALITRE ORIENTAL;59,09567649;9,750223362;9,688070543;16,55984151;0,27191858;0;2,686682887;8,00;0,76;14,55;0,13;6,29;16,853;27,68;18,42;2,44;34,41;3,02;39,06;43,70174154;98,520912;0,221762288;96,75524438;100;97,73525516;0
110;CIUDAD SALITRE OCCIDENTAL;53,32847529;7,713575378;9,764670582;20,84529984;0,180033435;0;2,506673414;9,64;0,42;15,07;0,22;7,26;18,199;24,79;20,73;3,13;34,58;2,92;43,09;68,05671538;92,46213156;44,34624294;61,77230626;100;97,20622566;0
111;PUENTE ARANDA;20,21310687;4,959141163;8,604390322;8,86877103;2,042941836;0,221464322;1,622674556;6,74;0,13;13,58;0,34;10,48;17,955;8,28;34,02;5,40;37,35;6,75;46,61;87,25245098;95,1725371;63,24600271;7,219249755;97,97222184;94,94014633;0
112;GRANJAS DE TECHO;54,3119818;10,79358514;10,49277106;13,86376882;0,735114403;6,839044666;1,732027035;6,35;0,16;11,91;0,28;6,08;16,911;14,34;35,76;5,86;23,64;10,91;60,22;47,08451922;83,63911991;1,076546992;0,293616996;100;99,16311196;0
113;BAVARIA;52,8671567;9,409531227;10,2979117;17,13722436;0,255561505;0;2,242112694;6,59;0,35;11,69;0,28;7,80;17,743;16,52;33,63;3,45;30,48;4,50;52,44;84,59323001;82,58014511;18,18115076;0;100;92,3945606;0
114;MODELIA;54,43979544;8,025060326;9,572513338;23,01033849;0,546811007;0;1,664924786;8,77;0,14;12,84;0,16;5,51;18,189;17,23;36,29;6,27;25,85;5,22;55,10;99,68764959;92,77446436;29,50375034;0;100;100;0
115;CAPELLANIA;53,5001892;9,276177091;10,80058382;16,08735607;0,63246662;0;1,487759645;6,03;0,30;12,86;0,20;6,46;18,346;17,11;38,78;4,56;18,25;6,46;62,35;92,70953206;90,88221302;6,722400254;62,91306118;100;99,71408937;0
116;ALAMOS;53,00157324;8,760453755;11,95661174;13,72857498;7,120973752;1,349780518;1,692026772;6,06;0,64;12,30;0,22;8,38;17,919;13,57;42,08;8,14;19,00;12,22;62,20;69,03935146;83,3751733;4,82020901;31,28498722;100;100;0
117;AEROPUERTO EL DORADO;32,84258211;5,775764439;24,23556059;7,587768969;40,54360136;6,016012726;0,781156894;0,66;0,08;1,91;0,03;0,85;16,200;33,90;35,59;4,24;3,39;11,86;71,27;5,367174466;10,79030131;0,183585849;5,445575332;18,45516383;17,69556083;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;
