cod_upz;nom_upz;Women [%];Children [%];Teenagers [%];Older People [%];Victim population [%];SES 1 and 2 [% residential area];Mean slope [%];Sidewalk density [%];Cycleway density [%];Street density [%];Accidents with fatalities [1/ha];Accidents with injuries [1/ha];Pollution [PM2.5];Car share;PT share;Bike share;Walking share;Motorcycle share;Commuting Time;Access to Schools;Access to Health;Access to Administration;Access to Culture;Access to UGS;Access to PT;Access to Bike Sharing
34;20 DE JULIO;51,85194324;13,20296114;12,45897594;15,98642813;3,18815546;65,37087838;2,305258492;10,39;0,11;18,43;0,35;13,43;12,212;7,41;39,87;1,53;40,31;6,10;49,10;100;99,7477898;29,35158327;83,0098111;100;100;0
35;CIUDAD JARDIN;53,730956;13,62271565;11,39118508;17,01078697;3,847722134;12,09297062;1,570148745;10,78;0,40;19,05;0,41;11,84;9,766;6,08;31,93;2,87;48,48;4,56;41,30;100;100;74,44111237;77,99997858;100;100;0
36;SAN JOSE;52,97962009;11,41559949;12,25034102;17,83496549;1,805892054;1,757482854;2,236150822;9,47;0,31;13,51;0,26;10,00;11,681;3,45;38,51;3,07;43,30;5,56;46,88;100;95,94575106;36,45084564;32,97219593;100;100;0
37;SANTA ISABEL;59,09256228;11,40889253;10,54964539;14,49354428;10,30414621;0;1,494255679;13,08;0,12;21,93;0,38;14,71;13,421;16,72;35,05;5,14;26,69;9,65;52,57;100;100;0,528586687;28,89242122;100;100;0
38;RESTREPO;53,50495189;13,34902016;11,64395589;17,14546604;2,68314954;0;1,536975508;11,71;0,21;18,11;0,37;12,67;16,169;9,01;42,40;6,01;27,74;6,71;52,52;100;100;49,06635897;81,08873696;100;100;0
39;QUIROGA;52,15155152;12,19676839;11,98461341;18,49605692;2,796588376;0;1,416057839;11,03;0,04;17,96;0,36;12,42;16,258;6,69;42,72;4,23;35,09;4,46;49,36;100;100;57,7548135;38,64469546;100;100;0
40;CIUDAD MONTES;52,34059023;9,829704886;10,98403483;19,46686018;1,133043058;0;1,515831283;10,80;0,21;16,87;0,29;9,00;17,155;12,05;40,30;4,90;26,93;7,72;49,23;100;99,86150545;0,754762083;38,7235465;100;100;0
41;MUZU;52,10645602;9,9573376;10,89557711;19,5447122;1,483185015;0;1,398323893;12,08;0,18;18,63;0,24;10,22;18,906;10,44;33,46;7,74;33,66;6,58;46,42;100;100;20,9949238;34,02919277;100;100;0
42;VENECIA;50,53236963;14,00623159;12,15088634;15,03776398;2,378176731;46,60390526;1,338527755;7,36;0,67;11,87;0,32;9,50;21,568;8,73;44,18;5,32;27,51;6,33;54,89;98,60823427;75,49731091;26,62976507;0,825141426;99,80847882;94,47109463;0
43;SAN RAFAEL;51,8261549;10,5365972;10,87340186;19,00925539;1,568162528;0;1,342225348;10,29;0,19;17,81;0,27;11,02;17,315;9,72;32,11;8,69;34,17;8,10;48,04;100;99,67031754;16,50883702;4,560321914;100;100;0
44;AMERICAS;52,25184996;8,882367951;11,45700434;19,28425619;1,972441949;11,00985054;1,638696663;10,97;0,47;17,06;0,50;12,40;18,415;14,75;30,63;7,66;32,43;6,19;48,17;100;99,98456685;49,91799423;7,791591236;100;100;0
45;CARVAJAL;51,27314034;9,938817284;12,13869582;18,2828351;2,788087365;22,2273464;1,460744777;11,02;0,26;17,30;0,55;12,31;24,660;6,46;27,20;11,13;42,86;7,28;45,48;100;99,23519338;54,46571583;20,70605189;100;100;0
46;CASTILLA;52,00358831;9,913047164;11,68106462;14,93879396;0,73178829;19,88250766;1,739831649;8,24;0,27;15,04;0,28;8,91;18,672;14,71;23,90;8,06;36,63;8,06;46,88;99,84328296;92,72049567;10,06858563;0;100;99,99862544;0
47;KENNEDY CENTRAL;52,2351777;9,047199036;11,58140435;21,73220893;1,673694174;0;1,516151294;9,63;0,56;15,71;0,47;16,19;21,830;6,19;28,09;9,28;42,20;5,07;47,22;100;100;65,9300527;0;100;100;0
48;TIMIZA;51,62647968;10,2987675;12,77881741;17,10797072;1,785291777;24,68785528;1,723170213;9,45;0,45;13,22;0,21;6,83;25,207;4,18;23,23;7,50;52,09;6,49;41,49;99,55789539;94,66848445;6,089462813;0;99,94034945;96,76265901;0
