cod_upz;nom_upz;Total Population [people];Women [%];Children [%];Teenagers [%];Older people [%];Victim Population [%];SES 1 and 2 [% built-up area]
95;LAS CRUCES;20786;49.98556721;15.3180025;12.59501588;13.23968055;7.947657077;99.99872034
96;LOURDES;45098;51.75395805;16.71471019;14.03831656;12.16461927;9.661182314;100
97;CHICO LAGO;38608;52.83101948;9.89432242;5.967675093;22.06796519;1.020513883;0
98;LOS ALCAZARES;44678;49.43148753;9.957921124;9.01786114;19.44133578;3.603563275;0
99;CHAPINERO;26491;49.9716885;5.571703597;5.541504662;14.59363557;2.385715904;0.431162901
100;GALERIAS;38425;57.40013012;7.502927781;6.956408588;19.14638907;2.068965517;0
101;TEUSAQUILLO;28881;56.89899934;6.87995568;6.45407015;19.81579585;3.05737336;0
102;LA SABANA;38856;57.62301832;11.90549722;11.53747169;12.93751287;9.303582458;11.59697056
103;PARQUE EL SALITRE;1442;45.63106796;11.3037448;8.807212205;17.89181692;3.74479889;0
104;PARQUE SIMON BOLIVAR-CAN;3323;51.79055071;6.078844418;7.10201625;23.53295215;7.794161902;0
105;JARDIN BOTANICO;2900;42.31034483;8.896551724;20.55172414;8.965517241;3.827586207;1.117385182
106;LA ESMERALDA;41130;59.11743253;8.339411622;8.001458789;25.27595429;0.877704838;0
107;QUINTA PAREDES;28926;58.89856876;7.484615916;7.21150522;21.12977944;0.477079444;0
108;ZONA INDUSTRIAL;6666;49.24992499;13.26132613;14.55145515;12.60126013;12.12121212;6.119846826
109;CIUDAD SALITRE ORIENTAL;25743;59.09567649;9.750223362;9.688070543;16.55984151;0.27191858;0
110;CIUDAD SALITRE OCCIDENTAL;46658;53.32847529;7.713575378;9.764670582;20.84529984;0.180033435;0
111;PUENTE ARANDA;12482;20.21310687;4.959141163;8.604390322;8.86877103;2.042941836;0.221464322
112;GRANJAS DE TECHO;53189;54.3119818;10.79358514;10.49277106;13.86376882;0.735114403;6.839044666
113;BAVARIA;41086;52.8671567;9.409531227;10.2979117;17.13722436;0.255561505;0
114;MODELIA;45171;54.43979544;8.025060326;9.572513338;23.01033849;0.546811007;0
115;CAPELLANIA;18499;53.5001892;9.276177091;10.80058382;16.08735607;0.63246662;0
116;ALAMOS;12077;53.00157324;8.760453755;11.95661174;13.72857498;7.120973752;1.349780518
117;AEROPUERTO EL DORADO;883;32.84258211;5.775764439;24.23556059;7.587768969;40.54360136;6.016012726
